ds	y
2014-03-01	236.028
2014-04-01	236.468
2014-05-01	236.918
2014-06-01	237.231
2014-07-01	237.498
2014-08-01	237.460
2014-09-01	237.477
2014-10-01	237.430
2014-11-01	236.983
2014-12-01	236.252
2015-01-01	234.718
2015-02-01	235.236
2015-03-01	236.005
2015-04-01	236.156
2015-05-01	236.974
2015-06-01	237.684
2015-07-01	238.053
2015-08-01	238.028
2015-09-01	237.506
2015-10-01	237.781
2015-11-01	238.016
2015-12-01	237.817
2016-01-01	237.833
2016-02-01	237.469
2016-03-01	238.038
2016-04-01	238.827
2016-05-01	239.464
2016-06-01	240.167
2016-07-01	240.150
2016-08-01	240.602
2016-09-01	241.051
2016-10-01	241.691
2016-11-01	242.029
2016-12-01	242.772
2017-01-01	243.780
2017-02-01	243.961
2017-03-01	243.749
2017-04-01	244.051
2017-05-01	243.962
2017-06-01	244.182
2017-07-01	244.390
2017-08-01	245.297
2017-09-01	246.418
2017-10-01	246.587
2017-11-01	247.332
2017-12-01	247.901
2018-01-01	248.884
2018-02-01	249.369
2018-03-01	249.498
2018-04-01	249.956
2018-05-01	250.646
2018-06-01	251.134
2018-07-01	251.597
2018-08-01	251.879
2018-09-01	252.010
2018-10-01	252.794
2018-11-01	252.760
2018-12-01	252.723
2019-01-01	252.673
2019-02-01	253.113
2019-03-01	254.148
